age,income,credit_score,employment_type,loan_amount,loan_tenure,emi_to_income_ratio,past_default_history,default_status
67,81678.57383,619,Salaried,19461.17297,60,0.047646067,1,0
26,86557.59251,786,Salaried,6395.042499,48,0.018467924,0,0
43,117847.1395,599,Self-Employed,39465.00713,24,0.167424467,0,0
19,246303.8616,678,Self-Employed,15672.80761,24,0.031814451,0,0
37,134142.1883,611,Salaried,27494.92497,48,0.051237545,0,0
45,71015.05633,739,Salaried,22152.5337,60,0.062377733,0,0
64,85645.84228,574,Unemployed,56126.29177,12,0.655238216,0,1
24,222047.304,599,Salaried,71819.6824,24,0.161712842,0,1
61,150563.9531,661,Unemployed,76814.95046,60,0.102028178,0,0
25,98881.06765,607,Salaried,17714.36592,24,0.089563234,0,0
64,253229.4075,470,Contract,39261.00111,48,0.038758473,0,0
52,286335.8582,557,Contract,24407.01395,36,0.028411846,0,0
31,278141.8186,626,Salaried,45526.34135,36,0.054557752,0,0
34,151649.1773,661,Salaried,415750.1858,12,0.548261847,0,0
53,86695.64674,767,Salaried,18944.23494,24,0.109242008,0,0
67,138994.9034,625,Self-Employed,18368.48283,36,0.044046932,1,0
57,99029.38095,576,Self-Employed,52765.121,12,0.532758333,1,1
21,25762.67865,780,Salaried,7253.634855,36,0.093808281,0,0
19,137968.0744,588,Salaried,37456.50398,36,0.090487713,1,1
23,36163.20281,720,Salaried,25854.06955,24,0.357345191,0,0
59,97912.6864,568,Salaried,31654.95928,36,0.107752738,0,0
21,108229.1742,822,Self-Employed,23743.06228,36,0.073117778,0,0
46,479868.811,659,Salaried,119895.2457,48,0.06246095,0,0
35,70968.60777,776,Salaried,68344.11947,48,0.240714054,0,0
43,191620.3376,644,Salaried,32675.68446,12,0.170512372,0,0
61,130478.5858,613,Salaried,6137.142457,36,0.015677101,0,0
51,224702.4477,615,Self-Employed,72384.11427,48,0.080528995,1,0
27,102324.005,521,Salaried,14259.20013,60,0.027867416,0,0
53,53902.65998,579,Salaried,51387.01827,48,0.238279432,0,1
31,175420.1547,662,Salaried,76348.86993,48,0.108801135,0,0
48,164732.3773,557,Salaried,34016.98632,24,0.103241722,0,0
65,185618.5857,661,Salaried,77594.93651,36,0.139335761,0,0
32,131934.4817,660,Unemployed,24412.83105,12,0.185020705,0,0
25,126868.7199,638,Self-Employed,6127.912237,24,0.024148319,0,0
31,285796.0384,709,Self-Employed,15964.49051,24,0.027928694,0,0
40,268004.1263,707,Self-Employed,20819.43017,24,0.038839883,0,0
57,,736,Salaried,16694.58652,48,0.045021457,0,0
38,146697.5539,669,Contract,49960.92997,60,0.068108625,0,0
33,70171.01551,723,Salaried,47594.55863,12,0.67814924,1,1
62,242206.4645,702,Contract,21241.45875,48,0.021923864,0,0
35,224914.22,598,Salaried,11744.51746,48,0.013053744,1,0
64,438453.4189,621,Salaried,20580.93342,60,0.009387711,0,0
41,272605.2225,516,Contract,68420.78573,24,0.125488744,0,0
43,184436.4487,713,Salaried,16677.2855,36,0.030139018,0,0
42,990115.659,684,Salaried,29083.34834,36,0.009791111,0,0
62,207552.9041,574,Salaried,33522.79897,24,0.08075257,0,0
58,240149.0546,603,Unemployed,31859.92433,36,0.04422022,0,0
46,45832.07772,502,Contract,76450.81267,12,1.667626801,0,1
32,,804,Salaried,93051.96822,36,0.107929031,0,0
62,883492.8692,748,Salaried,29242.24925,36,0.011032669,0,0
18,198903.0041,691,Salaried,45176.72476,24,0.113557861,0,0
42,281741.1961,566,Unemployed,25491.3596,24,0.045237037,0,0
24,353797.8691,648,Salaried,12961.67446,36,0.012211525,0,0
26,574639.748,999,Contract,28364.5605,60,0.009871913,0,0
41,249332.3726,687,Self-Employed,313440.1974,36,0.083803829,1,0
18,53761.3295,570,Salaried,41905.41236,36,0.259765778,0,1
61,191049.7755,472,Salaried,43213.82716,48,0.056544313,0,0
25,280380.0413,999,Unemployed,22988.60795,24,0.040993688,0,0
41,265223.4328,597,Salaried,16221.67712,60,0.012231908,1,0
28,146285.2179,689,Self-Employed,24055.04704,60,0.032885174,0,0
68,125827.597,686,Contract,46899.08738,36,0.124229809,0,0
34,126377.1649,515,Self-Employed,17079.19996,36,0.045043945,0,0
25,146618.4849,576,Salaried,55778.54347,36,0.126800698,0,0
52,178403.8244,521,Salaried,39695.99047,48,0.055622855,0,0
52,237891.7004,747,Salaried,82161.88189,36,0.115119243,0,0
50,211744.1074,873,Self-Employed,15957.65307,12,0.075358644,0,0
22,120292.7491,663,Unemployed,9861.480779,48,0.020492709,0,0
59,70816.82732,801,Salaried,21720.52128,60,0.061332432,0,0
56,212100.3506,738,Self-Employed,22260.10955,36,0.034981634,0,0
58,132899.9437,713,Self-Employed,16926.8619,60,0.025470791,1,0
45,501393.1453,433,Salaried,42549.46582,12,0.084860449,0,0
24,308195.0387,617,Self-Employed,140969.9951,36,0.152462444,0,0
26,206617.8694,615,Salaried,44555.79524,60,0.04312619,0,0
25,95904.9861,484,Contract,10374.83376,24,0.054082359,0,0
29,63203.76117,711,Contract,92829.20072,60,0.293690051,1,1
51,163026.6432,669,Unemployed,43169.13686,60,0.052955712,0,0
50,180281.5442,530,Self-Employed,30076.75934,48,0.041705264,0,0
65,48255.24632,517,Self-Employed,70275.51283,60,0.291193379,0,1
40,226723.3154,626,Salaried,69794.38618,48,0.076955795,0,0
41,168475.9594,843,Salaried,16786.96164,36,0.033211002,0,0
54,25094.83908,664,Salaried,84950.93691,24,1.691788772,0,1
52,89401.32684,750,Contract,44001.57927,36,0.164038109,0,0
61,93651.36953,557,Salaried,10147.44249,24,0.054169749,1,1
57,69279.72636,660,Salaried,5490.393362,48,0.019808979,0,0
39,213468.5809,765,Self-Employed,107701.7845,48,0.126125974,0,0
44,569074.2906,839,Salaried,14950.70183,36,0.008757138,0,0
52,225145.1697,729,Self-Employed,70562.56126,60,0.062678494,0,0
18,253358.2788,523,Self-Employed,4794.210251,12,0.018921755,0,0
52,94550.46844,787,Contract,72142.20686,36,0.254301761,0,0
54,232530.0921,687,Self-Employed,68878.07027,48,0.074049035,1,0
64,143151.1056,559,Salaried,9950.923404,24,0.034753798,0,0
31,162844.881,651,Salaried,7181.852052,60,0.008819832,0,0
20,106666.4211,758,Salaried,159006.5589,48,0.372630559,0,0
18,53919.37622,796,Contract,227409.8979,48,0.210832649,0,0
22,309809.4842,665,Salaried,23891.95293,48,0.019278806,0,0
43,182213.6036,690,Salaried,28583.16903,36,0.052285315,0,0
31,138637.0869,811,Contract,53681.59335,36,0.129058653,1,0
56,584121.9299,656,Self-Employed,28495.07245,24,0.024390873,0,0
44,81028.32554,592,Self-Employed,18329.03497,48,0.056542946,0,0
26,254780.3204,533,Contract,25399.88188,36,0.033229523,0,0
32,684976.1438,645,Salaried,58150.45851,12,0.08489265,0,0
32,218206.1245,647,Salaried,45309.85013,12,0.207635595,0,0
43,72253.55544,722,Salaried,60560.6553,12,0.838029334,0,1
59,322828.7928,606,Salaried,15547.30511,60,0.009631562,1,0
30,111098.5506,475,Salaried,25250.15118,12,0.227252507,0,0
68,105865.1756,531,Salaried,56537.00885,12,0.533986749,0,1
49,86527.23779,832,Salaried,34332.40766,12,0.396726485,0,0
56,508825.7334,767,Salaried,67240.98041,60,0.026429243,1,0
66,122578.0754,789,Contract,64601.74075,12,0.52697366,0,0
69,85476.54666,553,Contract,40748.27682,12,0.476651884,1,1
49,389554.9841,622,Unemployed,35400.15633,12,0.090870525,0,0
21,53565.28934,735,Unemployed,18495.5747,48,0.08630324,1,0
47,170239.4842,497,Contract,25504.90217,24,0.074903612,1,1
54,101108.3978,464,Self-Employed,35614.25294,12,0.352196527,0,1
40,,521,Contract,55202.42195,24,0.110935624,0,0
56,121009.2872,580,Self-Employed,48050.44518,48,0.099260317,1,1
62,60598.69812,752,Contract,66119.02778,24,0.545440243,1,1
32,179996.1725,688,Salaried,22902.43405,36,0.042409989,0,0
60,118022.46,716,Salaried,67074.76736,60,0.113652856,0,0
46,293417.5146,602,Salaried,496046.773,24,0.84525712,0,1
53,170570.2292,999,Contract,97747.44767,36,0.191007485,0,0
30,728702.0415,651,Salaried,57183.08788,48,0.019617808,0,0
49,110230.9412,605,Contract,36733.86676,12,0.333208334,1,0
24,369846.8503,610,Self-Employed,70774.74554,60,0.038271219,0,0
68,127367.1937,713,Contract,69563.11341,24,0.273055243,0,0
39,149528.7624,659,Salaried,16745.50323,12,0.111979523,0,0
45,276330.0042,592,Salaried,15727.09757,36,0.018970572,0,0
19,84186.59056,650,Salaried,43194.31965,36,0.171001753,0,0
59,374011.5862,546,Salaried,41049.67499,60,0.021950314,0,0
62,,569,Salaried,53090.31497,24,0.100438894,0,0
23,,618,Salaried,57746.6338,36,0.0679663,1,0
45,313337.1277,498,Self-Employed,54997.14133,12,0.175513944,0,0
45,244031.5187,696,Salaried,116404.2555,36,0.15899385,1,1
61,262028.0688,489,Contract,11534.85024,24,0.022009707,0,0
61,408993.3648,538,Salaried,28408.54551,48,0.017364409,0,0
37,163399.8227,591,Unemployed,34359.74894,12,0.210264768,0,0
47,143618.533,667,Salaried,28844.53463,24,0.100412266,0,0
28,228372.2491,629,Salaried,29995.2264,60,0.026267334,0,0
45,174563.4294,382,Self-Employed,32983.8649,48,0.047234403,1,1
42,313280.2816,570,Salaried,43897.79918,48,0.035029429,0,0
56,600590.4738,790,Self-Employed,17822.27652,60,0.0059348,1,0
50,83946.69194,695,Salaried,108576.9727,12,1.293218965,0,1
18,174337.4803,530,Salaried,57978.84085,60,0.066508762,0,0
44,77318.49685,591,Salaried,119070.2271,12,1.539757688,0,1
69,140457.7265,728,Contract,18704.51624,60,0.026631384,1,0
30,146672.6556,597,Contract,565158.6146,12,0.770576325,0,1
58,123883.8007,549,Salaried,87529.50726,48,0.176619197,1,1
20,306594.1469,566,Unemployed,79195.60777,24,0.129148761,0,1
56,209212.9079,674,Salaried,8351.054382,60,0.007982849,0,0
23,106960.241,682,Salaried,20258.25186,12,0.189378587,0,0
25,306995.9332,767,Salaried,16045.55578,12,0.052264303,0,0
44,150264.668,668,Self-Employed,185222.2567,36,0.410847226,0,1
26,112141.6797,707,Self-Employed,33024.36378,36,0.098152119,0,0
54,79788.00792,605,Self-Employed,76402.03167,24,0.478709424,0,0
50,,565,Salaried,40859.0394,60,0.140001504,1,1
68,117540.9757,550,Salaried,129629.7596,60,0.220546964,0,1
59,169559.6195,622,Salaried,210104.6231,48,0.309757941,1,1
61,311564.1502,603,Contract,59239.91019,24,0.095064899,0,0
41,38916.78583,528,Contract,15689.55968,12,0.403032341,0,0
32,600049.0476,567,Salaried,45381.53081,36,0.025209397,0,0
49,94979.42377,835,Self-Employed,19522.93849,36,0.068507723,0,0
49,124264.7495,559,Contract,97224.37644,36,0.260773842,0,0
41,127433.428,628,Self-Employed,21495.88784,48,0.042166848,0,0
58,104610.9699,376,Self-Employed,25289.82197,12,0.241723419,0,0
69,131502.5141,605,Contract,75636.5663,48,0.143779884,0,0
66,137749.7108,745,Salaried,58753.07298,36,0.14216111,0,0
66,146313.0187,610,Self-Employed,143619.9093,60,0.196302602,1,1
69,493698.6858,549,Self-Employed,63876.36798,24,0.06469008,0,0
29,97304.27143,543,Salaried,21392.27478,12,0.219822178,0,0
56,587534.2217,693,Salaried,26306.89634,48,0.011193543,0,0
19,,743,Self-Employed,97236.91055,60,0.081573971,0,0
20,54895.0833,890,Salaried,206951.4819,60,0.75382435,0,1
66,90955.81422,372,Salaried,30631.91572,12,0.336733558,0,1
54,83673.04785,572,Contract,15904.45136,36,0.06335043,0,0
66,160232.1945,652,Salaried,26413.05663,24,0.082415019,0,0
34,409926.3264,999,Salaried,36751.52391,12,0.089651349,0,0
66,287756.9117,779,Salaried,31008.296,48,0.026938539,0,0
19,79848.91316,574,Salaried,6459.414894,24,0.040441654,1,0
19,380980.2192,608,Self-Employed,144971.653,24,0.190255399,1,0
45,78423.41342,999,Salaried,48589.74498,12,0.619487332,0,1
40,87167.7385,999,Salaried,9728.010263,24,0.055792839,0,0
54,339158.6374,736,Salaried,34087.65182,12,0.100502957,0,0
49,334202.222,752,Contract,98211.38041,24,0.146928787,0,0
50,287947.8415,682,Contract,22735.38146,48,0.019738326,0,0
18,165056.0193,543,Salaried,25003.43521,60,0.030294706,0,0
36,154438.3467,710,Salaried,78769.84207,60,0.102000214,0,0
19,71708.63823,879,Self-Employed,14278.87731,48,0.049772554,0,0
61,161349.2771,781,Salaried,80276.62685,12,0.497496229,0,0
43,101580.236,559,Salaried,123920.0663,36,0.406592968,0,1
49,143655.3242,746,Contract,44340.93402,48,0.077159045,0,0
23,811366.4986,900,Self-Employed,75483.21397,60,0.018606166,1,0
49,204109.452,807,Salaried,22312.88787,60,0.021862364,0,0
21,74903.49625,572,Salaried,173207.895,60,0.092481745,0,0
28,388580.5123,606,Self-Employed,46442.24842,48,0.029878502,0,0
34,416632.4062,699,Salaried,11639.1703,12,0.027935501,0,0
55,444251.035,560,Salaried,13999.15375,48,0.007877739,0,0
41,116583.5637,642,Salaried,71225.89008,60,0.122175987,0,0
22,150552.5045,648,Self-Employed,21318.8451,24,0.070796385,0,0
69,67295.95026,685,Salaried,70356.61943,36,0.348431447,0,1
51,484811.8958,584,Salaried,246287.7416,12,0.101598846,0,0
23,177528.8349,878,Salaried,29792.71052,36,0.055935884,0,0
39,62364.36848,617,Salaried,7386.883306,60,0.023684878,0,0
28,517930.7276,798,Self-Employed,5816.113138,48,0.002807315,1,0
65,101216.4564,772,Contract,47393.24692,24,0.234090535,0,0
33,123473.9546,655,Salaried,10771.39796,60,0.017445543,0,0
50,78228.54342,444,Salaried,20911.78,60,0.053455099,0,0
26,69921.40099,601,Contract,63279.92664,60,0.18097197,0,0
23,213782.7173,654,Contract,15072.33434,60,0.014099819,0,0
33,99948.95334,747,Salaried,22306.53564,24,0.111576245,0,0
46,55966.18096,605,Salaried,30203.28167,12,0.53955454,0,0
20,325679.7537,598,Salaried,115974.8447,24,0.178043876,0,1
37,231470.1437,614,Self-Employed,49330.53936,36,0.071035773,0,0
53,568913.4453,676,Self-Employed,9495.219549,24,0.008344872,0,0
36,125380.1523,697,Salaried,37419.5167,60,0.059683985,0,0
43,167381.9687,601,Salaried,28277.08448,24,0.084462674,1,0
20,188735.2363,601,Salaried,21928.42033,48,0.029044691,0,0
36,179455.1232,600,Salaried,41867.64303,12,0.233288651,0,0
37,194036.851,674,Contract,15302.39621,48,0.019714618,1,0
49,130010.5268,779,Self-Employed,28123.06715,36,0.072097935,0,0
24,46091.99125,856,Self-Employed,35234.58725,24,0.382120791,0,0
69,199107.6883,685,Salaried,21860.24192,24,0.054892216,0,0
58,243425.4359,666,Contract,26828.14009,24,0.055102741,0,0
50,128606.7073,703,Salaried,190282.2362,12,1.479428928,0,1
57,927571.8795,799,Salaried,18422.0227,48,0.004965056,0,0
56,116539.9124,379,Contract,36627.72442,60,0.062852207,1,1
35,105048.5896,521,Contract,388513.4781,12,0.739598892,0,1
57,222046.2719,789,Salaried,109238.1077,24,0.245967211,0,0
18,191858.4096,558,Salaried,72505.48288,24,0.188943889,0,0
28,54080.17182,634,Salaried,76959.34397,36,0.474248191,0,0
45,284275.4075,680,Salaried,9765.918787,60,0.006870455,1,0
42,118249.3549,999,Salaried,35517.38548,12,0.300329601,1,0
67,387290.3669,613,Self-Employed,13502.14042,48,0.008715503,0,0
40,215310.2787,489,Salaried,122673.5678,12,0.113944148,0,0
48,138064.1383,563,Unemployed,87337.38336,60,0.126506121,0,1
47,397295.4786,727,Salaried,93480.52334,48,0.058821271,0,0
59,110837.2303,652,Salaried,42259.66587,36,0.127078512,0,0
52,63905.82169,787,Self-Employed,8614.08516,36,0.044922709,0,0
24,62690.98226,719,Salaried,26625.17667,60,0.084924754,0,0
33,192891.5981,605,Salaried,17115.69667,48,0.022181671,1,0
43,582024.0192,702,Self-Employed,16981.07585,60,0.00583506,1,0
65,147293.1695,668,Self-Employed,40968.21176,24,0.139058975,0,0
69,277044.759,656,Self-Employed,58594.7166,36,0.070496646,0,0
66,202397.608,534,Self-Employed,27009.70476,24,0.066720412,0,0
19,121892.8697,459,Self-Employed,64939.09298,48,0.133175757,0,1
18,51004.71777,631,Self-Employed,15632.17815,36,0.102137618,0,0
65,182864.849,562,Salaried,79508.10043,36,0.144921024,0,0
29,,636,Unemployed,37198.48559,36,0.04338114,1,0
22,223824.48,638,Self-Employed,73281.28333,24,0.16369379,0,0
54,128315.2342,796,Self-Employed,60137.93971,48,0.117157399,0,0
49,112405.0202,644,Self-Employed,8891.613149,48,0.019773725,0,0
26,104437.969,629,Salaried,126654.7251,12,1.212587483,1,1
58,102625.3129,729,Self-Employed,140710.6362,48,0.342737529,0,1
52,167965.4016,833,Salaried,21802.15159,48,0.032448043,0,0
36,145850.4366,522,Salaried,26861.03467,60,0.03683064,0,0
65,231896.4471,713,Contract,6971.061759,48,0.007514886,0,0
33,82527.4305,735,Self-Employed,86525.10843,48,0.262072042,1,1
20,159784.4187,762,Contract,42146.66264,48,0.065938059,1,0
37,158815.0471,712,Self-Employed,22831.07443,24,0.071874013,0,0
41,114013.9822,655,Salaried,32361.1337,12,0.283804911,0,0
50,201834.1454,537,Contract,157371.3323,12,0.779659834,0,1
41,87137.3563,816,Contract,166058.7691,12,1.905450323,0,1
69,375052.4124,756,Self-Employed,49411.92947,12,0.131742516,0,0
28,218999.4201,428,Self-Employed,101138.0122,48,0.115448332,1,1
66,238274.1276,724,Unemployed,55196.91738,36,0.077213779,0,0
25,154782.3168,686,Salaried,18185.22666,24,0.058739969,0,0
53,129300.3454,474,Self-Employed,63166.91772,24,0.244241637,0,0
55,98182.46207,694,Contract,76844.55618,24,0.391287627,0,0
57,90871.92331,529,Salaried,26265.4216,60,0.057799929,0,0
37,55809.1803,664,Self-Employed,115560.7013,60,0.414038903,0,1
52,173684.2506,687,Self-Employed,27881.00047,12,0.160515845,0,0
65,265433.2099,572,Salaried,16722.44877,48,0.015749435,0,0
42,69202.3205,666,Salaried,29343.30077,24,0.211974202,0,0
52,410831.6494,626,Self-Employed,9334.613253,60,0.00454412,0,0
42,54128.82064,749,Salaried,50900.07057,48,0.235035552,0,1
46,295984.0873,635,Salaried,13714.60256,24,0.023166865,0,0
35,90051.42661,564,Self-Employed,68693.18005,24,0.381360018,1,1
63,346384.8106,531,Salaried,69195.7779,36,0.066586235,0,0
35,277638.9873,852,Salaried,91220.87072,60,0.06570902,0,0
19,1040099.315,490,Self-Employed,12842.33085,60,0.002469415,1,0
52,105207.4942,636,Self-Employed,37049.26793,24,0.176057052,0,0
33,34007.70904,881,Self-Employed,288901.7866,36,2.830729546,0,1
58,43319.80036,573,Self-Employed,41183.88062,36,0.316810289,0,1
53,140888.9891,859,Salaried,32650.57532,24,0.115863542,0,0
50,,874,Salaried,106025.7211,36,0.193537141,0,0
21,98494.7129,569,Unemployed,36513.9551,36,0.123558263,0,0
50,210005.6505,723,Self-Employed,35674.65005,60,0.033973002,0,0
31,304188.7923,570,Salaried,91314.53714,48,0.075044625,1,1
38,244955.2025,570,Self-Employed,95888.79081,36,0.130478407,0,0
65,158301.5643,739,Contract,5252.777311,60,0.006635916,0,0
37,90027.84022,647,Unemployed,13836.044,36,0.051221933,0,0
25,291402.4103,603,Contract,46474.07059,48,0.0398694,0,0
24,428176.1127,749,Self-Employed,23207.10769,60,0.010839679,0,0
20,106848.1993,662,Self-Employed,15063.58241,24,0.070482661,0,0
34,71694.29524,520,Self-Employed,61932.75205,12,0.863700346,1,1
50,365182.5597,628,Contract,35310.39148,48,0.024172315,0,0
65,203826.0711,697,Self-Employed,8716.901802,24,0.021381928,0,0
29,201012.7218,650,Contract,26234.92011,12,0.130505939,0,0
68,542207.3706,716,Salaried,63475.83414,48,0.029266676,0,0
39,46379.78965,714,Self-Employed,16498.08441,60,0.071125018,0,0
39,,641,Salaried,26183.38193,48,0.046647739,1,0
63,212008.9567,683,Self-Employed,43651.43842,60,0.008235306,0,0
47,666909.3382,756,Contract,16394.24552,36,0.008193993,0,0
55,157244.0919,578,Self-Employed,26001.48486,12,0.16534485,0,0
55,116030.1828,695,Self-Employed,32358.33471,60,0.055769952,0,0
62,189415.5731,504,Salaried,59231.8956,48,0.07817222,0,0
68,271480.3334,818,Salaried,12151.69864,48,0.011189725,0,0
25,375000.9715,682,Unemployed,21034.59559,24,0.028045157,0,0
44,455681.281,686,Self-Employed,73706.80128,48,0.040436629,0,0
44,42656.69692,578,Unemployed,16799.95104,36,0.131243372,0,0
51,95119.50867,525,Self-Employed,29289.47959,12,0.307884107,0,1
38,,836,Unemployed,58828.30352,48,0.049369634,0,0
47,195340.257,510,Salaried,34797.12756,12,0.178125035,0,0
50,220745.2228,646,Salaried,14579.85953,24,0.033022384,0,0
45,105057.3677,576,Self-Employed,23570.2328,48,0.056082551,0,0
64,192618.0191,467,Self-Employed,37622.18265,12,0.195307994,0,0
50,138376.7261,610,Self-Employed,23677.81618,24,0.085548212,1,0
22,226883.6246,692,Salaried,33774.41604,12,0.148854417,0,0
65,232351.0133,768,Salaried,43481.2125,48,0.046781555,0,0
36,204276.8832,559,Self-Employed,24399.68475,24,0.059718582,0,0
21,197304.9627,768,Salaried,51344.18695,48,0.065052931,0,0
52,144533.5138,999,Salaried,17038.19809,24,0.058937139,0,0
66,495080.9923,648,Salaried,19242.14192,48,0.009716428,0,0
34,356135.5003,531,Salaried,55128.21952,36,0.051596805,0,0
61,169194.1472,647,Salaried,18514.56187,24,0.054710075,0,0
45,297036.2797,687,Salaried,18173.13019,60,0.012235809,0,0
47,672971.874,600,Contract,74127.43915,60,0.022029485,0,0
46,86478.89798,615,Salaried,23490.11985,12,0.271590657,0,0
63,99845.20311,617,Unemployed,220576.7373,36,0.736307215,1,1
23,172852.7681,566,Salaried,8443.448043,24,0.024422119,0,0
52,202675.98,641,Salaried,28084.98497,24,0.069281328,1,0
58,111975.862,711,Contract,25942.43061,12,0.23165395,1,0
54,266725.0108,571,Salaried,124079.2913,60,0.093034927,1,1
41,153709.6184,823,Self-Employed,32149.80795,24,0.104571524,0,0
46,349769.2858,712,Salaried,58356.7376,24,0.083418896,0,0
66,101983.5729,768,Salaried,20080.43454,48,0.049218888,0,0
63,89176.38856,815,Salaried,68053.07824,36,0.254342071,0,0
48,141958.8561,581,Salaried,165992.349,24,0.584600085,0,1
52,146443.3781,540,Salaried,294092.5316,60,0.080322767,0,0
50,86941.71406,663,Self-Employed,70147.65145,12,0.806724039,1,1
69,175304.0345,999,Contract,22630.02099,36,0.043027099,0,0
38,102896.1843,491,Salaried,136372.3707,12,1.325184888,0,1
49,615299.561,651,Contract,125598.0786,24,0.102060555,0,0
40,156108.0356,772,Salaried,30373.1303,24,0.097274928,0,0
50,210627.1864,578,Salaried,75418.00359,12,0.358043557,0,1
20,68030.66334,900,Self-Employed,53420.46957,48,0.196275641,0,0
35,239213.2795,829,Self-Employed,28794.96134,24,0.060183776,0,0
42,92593.76168,731,Unemployed,69467.15696,36,0.250046202,0,0
59,308576.4901,689,Salaried,22823.82354,60,0.014792401,0,0
48,55369.46421,603,Salaried,24506.76001,24,0.221254172,0,0
20,159176.7948,530,Self-Employed,31913.33072,48,0.050118683,0,0
57,335370.3272,611,Contract,33456.84352,24,0.049878662,0,0
63,184044.8242,744,Self-Employed,212910.5931,60,0.23135311,0,0
41,147566.0747,742,Contract,18963.04628,24,0.064247505,0,0
67,414917.2569,455,Salaried,4520.38492,60,0.00217887,0,0
49,91602.51745,664,Salaried,86718.91166,60,0.189312598,1,1
64,71721.61282,761,Salaried,22794.99666,60,0.063554576,0,0
39,78386.23753,826,Contract,31578.6265,36,0.134265886,0,0
40,80499.74671,780,Salaried,100617.8396,48,0.312432172,0,1
19,217710.6179,723,Salaried,46680.85169,12,0.214405155,0,0
44,131818.0304,527,Salaried,29633.46456,12,0.224785388,0,1
59,323987.1075,690,Self-Employed,35240.0968,36,0.036255343,0,0
19,224663.4066,729,Salaried,51424.98925,24,0.114442853,0,0
43,210160.2586,696,Salaried,28436.02368,60,0.027059731,0,0
34,48268.95278,727,Salaried,29521.36397,24,0.305724745,0,0
57,242977.6626,681,Self-Employed,48993.65941,48,0.050407144,0,0
50,390280.9303,663,Salaried,32468.6924,60,0.016638115,0,0
26,174979.5703,999,Self-Employed,19679.93293,24,0.056231088,0,0
